Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2 "
"Rpot1",1,"250 kΩ Potentiometer"
"R1",1,"220 Ω Resistor"
"GAS1",1," Gas Sensor"
"R2",1,"10 kΩ Resistor"
"PIEZO1",1," Piezo"
"R3",1,"100 Ω Resistor"
"D1",1,"Red LED"
"D2",1,"Green LED"
"R4, R5",2,"1 kΩ Resistor"
"M2",1," DC Motor"
"T1",1," NPN Transistor (BJT)"
"D3",1," Diode"
"R6",1,"270 Ω Resistor"
